date,products_captured,products_discounted,pct_assortment_discounted,average_discount_pct,median_discount_pct,discounted_30pct_plus,discounted_50pct_plus
2026-08-27,7452,7226,97.0,42.8,30.0,5192,3139
2026-08-28,8667,8189,94.5,42.1,45.0,6316,3450
